lat_sweref	lat_wgs84	lon_sweref	lon_wgs84
7069123	63.6087	815261	21.3646
7069123	63.5996	825261	21.5649
7069123	63.5903	835261	21.7651
7069123	63.5807	845261	21.9651
7069123	63.5708	855261	22.165
7069123	63.5606	865261	22.3647
7069123	63.5502	875261	22.5642
7059123	63.5748	745261	19.9431
7059123	63.5677	755261	20.1436
7059123	63.5604	765261	20.3441
7059123	63.5528	775261	20.5445
7059123	63.5449	785261	20.7447
7059123	63.5367	795261	20.9448
7059123	63.5282	805261	21.1448
7059123	63.5195	815261	21.3446
7059123	63.5105	825261	21.5443
7059123	63.5012	835261	21.7439
7059123	63.4916	845261	21.9433
7059123	63.4818	855261	22.1426
7059123	63.4716	865261	22.3417
7059123	63.4612	875261	22.5406
7049123	63.5048	715261	19.327
7049123	63.4986	725261	19.5273
7049123	63.4921	735261	19.7275
7049123	63.4854	745261	19.9276
7049123	63.4784	755261	20.1275
7049123	63.471000000000004	765261	20.3274
7049123	63.4634	775261	20.5271
7049123	63.4556	785261	20.7268
7049123	63.4474	795261	20.9262
7049123	63.43899999999999	805261	21.1256
7049123	63.4303	815261	21.3248
7049123	63.4213	825261	21.5239
7049123	63.412	835261	21.7229
7049123	63.4025	845261	21.9217
7049123	63.3927	855261	22.1203
7049123	63.3826	865261	22.3188
7049123	63.3723	875261	22.5171
7039123	63.4153	715261	19.3135
7039123	63.4092	725261	19.5132
7039123	63.4027	735261	19.7127
7039123	63.396	745261	19.9122
7039123	63.388999999999996	755261	20.1115
7039123	63.3817	765261	20.3108
7039123	63.3741	775261	20.5099
7039123	63.3663	785261	20.7089
7039123	63.3582	795261	20.9078
7039123	63.3498	805261	21.1065
7039123	63.3411	815261	21.3052
7039123	63.3321	825261	21.5036
7039123	63.3229	835261	21.701999999999998
7039123	63.3134	845261	21.9002
7039123	63.3036	855261	22.0982
7039123	63.2936	865261	22.2961
7029123	63.3317	705261	19.101
7029123	63.3258	715261	19.3001
7029123	63.3197	725261	19.4991
7029123	63.3133	735261	19.6981
7029123	63.3066	745261	19.8969
7029123	63.2996	755261	20.0957
7029123	63.2923	765261	20.2943
7029123	63.2848	775261	20.4928
7029123	63.277	785261	20.6912
7029123	63.2689	795261	20.8895
7029123	63.2605	805261	21.0876
7029123	63.2519	815261	21.2856
7029123	63.243	825261	21.4835
7029123	63.2338	835261	21.6812
7029123	63.2243	845261	21.8788
7029123	63.2146	855261	22.0763
7019123	63.2531	685261	18.6909
7019123	63.2478	695261	18.8896
7019123	63.2422	705261	19.0882
7019123	63.2363	715261	19.2868
7019123	63.2302	725261	19.4852
7019123	63.2238	735261	19.6835
7019123	63.2171	745261	19.8818
7019123	63.2102	755261	20.0799
7019123	63.2029	765261	20.2779
7019123	63.1954	775261	20.4758
7019123	63.1877	785261	20.6736
7019123	63.1796	795261	20.8713
7019123	63.1713	805261	21.0688
7019123	63.1627	815261	21.2662
7019123	63.1538	825261	21.4635
7019123	63.1446	835261	21.6606
7009123	63.1685	675261	18.4814
7009123	63.1635	685261	18.6795
7009123	63.1582	695261	18.8776
7009123	63.1527	705261	19.0756
7009123	63.1468	715261	19.2735
7009123	63.1407	725261	19.4714
7009123	63.1344	735261	19.6691
7009123	63.1277	745261	19.8667
7009123	63.1208	755261	20.0642
7009123	63.1136	765261	20.2616
7009123	63.1061	775261	20.4589
7009123	63.0983	785261	20.6561
7009123	63.0903	795261	20.8532
7009123	63.082	805261	21.0501
7009123	63.0734	815261	21.2469
7009123	63.0646	825261	21.4436
7009123	63.0555	835261	21.6402
6999123	63.0789	675261	18.4706
6999123	63.0739	685261	18.6682
6999123	63.0687	695261	18.8657
6999123	63.0631	705261	19.0631
6999123	63.0573	715261	19.2604
6999123	63.0513	725261	19.4576
6999123	63.0449	735261	19.6547
6999123	63.0383	745261	19.8518
6999123	63.0314	755261	20.0487
6999123	63.0242	765261	20.2455
6999123	63.0167	775261	20.4422
6999123	63.00899999999999	785261	20.6388
6999123	63.001000000000005	795261	20.8352
6999123	62.9928	805261	21.0316
6999123	62.9842	815261	21.2278
6999123	62.9754	825261	21.4239
6999123	62.9663	835261	21.6198
6989123	63.0064	635261	17.6715
6989123	63.0026	645261	17.8687
6989123	62.994	665261	18.262999999999998
6989123	62.9893	675261	18.46
6989123	62.9844	685261	18.6569
6989123	62.9791	695261	18.8538
6989123	62.9736	705261	19.0506
6989123	62.9678	715261	19.2473
6989123	62.9618	725261	19.4439
6989123	62.9554	735261	19.6405
6989123	62.9488	745261	19.8369
6989123	62.942	755261	20.0332
6989123	62.9348	765261	20.2294
6989123	62.9274	775261	20.4256
6989123	62.9197	785261	20.6215
6989123	62.9117	795261	20.8174
6989123	62.9035	805261	21.0132
6989123	62.895	815261	21.2088
6989123	62.8862	825261	21.4043
6979123	62.9168	635261	17.6633
6979123	62.9129	645261	17.8599
6979123	62.9044	665261	18.253
6979123	62.8997	675261	18.4494
6979123	62.8948	685261	18.6458
6979123	62.8896	695261	18.8421
6979123	62.8841	705261	19.0382
6979123	62.8783	715261	19.2344
6979123	62.8723	725261	19.4304
6979123	62.86600000000001	735261	19.6263
6979123	62.8594	745261	19.8222
6979123	62.8526	755261	20.0179
6979123	62.8454	765261	20.2135
6979123	62.838	775261	20.409000000000002
6979123	62.8304	785261	20.6044
6979123	62.8224	795261	20.7997
6979123	62.8142	805261	20.9949
6979123	62.8058	815261	21.1899
6969123	62.8233	645261	17.8512
6969123	62.8192	655261	18.0472
6969123	62.8148	665261	18.2431
6969123	62.8101	675261	18.4389
6969123	62.8052	685261	18.6347
6969123	62.8	695261	18.8304
6969123	62.7946	705261	19.026
6969123	62.7888	715261	19.2215
6969123	62.7828	725261	19.4169
6969123	62.7765	735261	19.6123
6969123	62.77	745261	19.8075
6969123	62.7631	755261	20.0026
6969123	62.7561	765261	20.1977
6969123	62.7487	775261	20.3926
6969123	62.7411	785261	20.5874
6969123	62.7332	795261	20.7821
6969123	62.725	805261	20.9767
6969123	62.7165	815261	21.1712
6959123	62.7296	655261	18.0379
6959123	62.7252	665261	18.2332
6959123	62.7206	675261	18.4285
6959123	62.7156	685261	18.6237
6959123	62.7105	695261	18.8188
6959123	62.705	705261	19.0138
6959123	62.6993	715261	19.2087
6959123	62.6933	725261	19.4035
6959123	62.6871	735261	19.5983
6959123	62.6805	745261	19.793
6959123	62.6737	755261	19.9875
6959123	62.6667	765261	20.182000000000002
6959123	62.6593	775261	20.3763
6959123	62.6517	785261	20.5706
6959123	62.6439	795261	20.7647
6959123	62.6357	805261	20.9587
6959123	62.6273	815261	21.1526
6949123	62.644	645261	17.834
6949123	62.6399	655261	18.0288
6949123	62.6356	665261	18.2235
6949123	62.631	675261	18.4181
6949123	62.6261	685261	18.6127
6949123	62.6209	695261	18.8072
6949123	62.6155	705261	19.0016
6949123	62.6098	715261	19.195999999999998
6949123	62.6038	725261	19.3903
6949123	62.5976	735261	19.5844
6949123	62.5911	745261	19.7785
6949123	62.5843	755261	19.9725
6949123	62.5773	765261	20.1664
6949123	62.57	775261	20.3601
6949123	62.5624	785261	20.5538
6949123	62.5545	795261	20.7473
6949123	62.5464	805261	20.9408
6949123	62.5381	815261	21.1341
6939123	62.5544	645261	17.8254
6939123	62.5503	655261	18.0196
6939123	62.54600000000001	665261	18.2138
6939123	62.5414	675261	18.4078
6939123	62.5365	685261	18.6018
6939123	62.5314	695261	18.7958
6939123	62.5259	705261	18.9896
6939123	62.5203	715261	19.1834
6939123	62.5143	725261	19.3771
6939123	62.5081	735261	19.5707
6939123	62.5016	745261	19.7642
6939123	62.4949	755261	19.9576
6939123	62.4879	765261	20.1509
6939123	62.4806	775261	20.3441
6939123	62.473	785261	20.5371
6939123	62.4652	795261	20.7301
6939123	62.4572	805261	20.923000000000002
6939123	62.4488	815261	21.1157
6939123	62.4402	825261	21.3083
6929123	62.472	625261	17.4295
6929123	62.4685	635261	17.6233
6929123	62.4647	645261	17.817
6929123	62.4607	655261	18.0106
6929123	62.4563	665261	18.2041
6929123	62.4518	675261	18.3976
6929123	62.4469	685261	18.590999999999998
6929123	62.4418	695261	18.7844
6929123	62.4364	705261	18.9777
6929123	62.4307	715261	19.1709
6929123	62.4248	725261	19.364
6929123	62.4186	735261	19.557000000000002
6929123	62.4122	745261	19.7499
6929123	62.4055	755261	19.9427
6929123	62.3985	765261	20.1355
6929123	62.3912	775261	20.3281
6929123	62.3837	785261	20.5206
6929123	62.3759	795261	20.713
6929123	62.3679	805261	20.9053
6929123	62.3596	815261	21.0975
6929123	62.351000000000006	825261	21.2895
6919123	62.3823	625261	17.4223
6919123	62.3788	635261	17.6154
6919123	62.375	645261	17.8085
6919123	62.371	655261	18.0016
6919123	62.3667	665261	18.1946
6919123	62.3622	675261	18.3875
6919123	62.3573	685261	18.5803
6919123	62.3522	695261	18.7731
6919123	62.3469	705261	18.9658
6919123	62.3412	715261	19.1584
6919123	62.3353	725261	19.3509
6919123	62.3292	735261	19.5434
6919123	62.3227	745261	19.7357
6919123	62.316	755261	19.928
6919123	62.3091	765261	20.1202
6919123	62.3019	775261	20.3122
6919123	62.2944	785261	20.5042
6919123	62.2866	795261	20.695999999999998
6919123	62.2786	805261	20.8877
6919123	62.2703	815261	21.0794
6919123	62.2618	825261	21.2708
6909123	62.2926	625261	17.4151
6909123	62.2891	635261	17.6076
6909123	62.2854	645261	17.8002
6909123	62.2814	655261	17.9926
6909123	62.2771	665261	18.185
6909123	62.2726	675261	18.3774
6909123	62.2677	685261	18.5697
6909123	62.2627	695261	18.7619
6909123	62.2573	705261	18.954
6909123	62.2517	715261	19.1461
6909123	62.2458	725261	19.338
6909123	62.2397	735261	19.5299
6909123	62.2333	745261	19.7217
6909123	62.2266	755261	19.9134
6909123	62.2197	765261	20.105
6909123	62.2125	775261	20.2965
6909123	62.205	785261	20.4879
6909123	62.1973	795261	20.6791
6909123	62.1893	805261	20.8703
6909123	62.181000000000004	815261	21.0614
6909123	62.1725	825261	21.2523
6899123	62.1995	635261	17.5999
6899123	62.1957	645261	17.7919
6899123	62.1917	655261	17.9838
6899123	62.1875	665261	18.1756
6899123	62.1829	675261	18.3674
6899123	62.1781	685261	18.5591
6899123	62.1731	695261	18.7507
6899123	62.1678	705261	18.9423
6899123	62.1622	715261	19.1338
6899123	62.1563	725261	19.3252
6899123	62.1502	735261	19.5165
6899123	62.1438	745261	19.7077
6899123	62.1372	755261	19.8989
6899123	62.1303	765261	20.0899
6899123	62.1231	775261	20.2808
6899123	62.1157	785261	20.4717
6899123	62.108000000000004	795261	20.6624
